Model,CV Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8148138848785388,0.7837837837837838,0.7837837837837838,0.7837837837837838
Decision Tree,0.7811687904086373,0.7105263157894737,0.7297297297297297,0.7200000000000001
Random Forest,0.8136840123030569,0.782051282051282,0.8243243243243243,0.8026315789473683
Gradient Boosting,0.8350260498399347,0.7945205479452054,0.7837837837837838,0.7891156462585033
Support Vector Machine,0.8305128366078713,0.8115942028985508,0.7567567567567568,0.7832167832167832
K-Nearest Neighbors,0.8170799070993662,0.8235294117647058,0.7567567567567568,0.7887323943661971
